county,date,alcohol_type,sum_sale_dollars,avg_sale_dollars,population
black hawk,2022,COCKTAILS,363710.5,89.76073543928923,130081.0
black hawk,2022,GIN,476926.07,120.98581177067479,130081.0
black hawk,2022,LIQUEUR,1466781.4,137.40340983606558,130081.0
black hawk,2022,RUM,1898278.11,180.80561101057245,130081.0
black hawk,2022,SCHNAPPS,789101.21,114.7116165140282,130081.0
black hawk,2022,SCOTCH,160190.55,143.5399193548387,130081.0
black hawk,2022,TEQUILA,2657654.49,229.54348678528245,130081.0
black hawk,2022,VODKA,4452342.7,134.0057998495109,130081.0
black hawk,2022,WHISKEY,7050865.33,178.86517833587013,130081.0
black hawk,2023,BRANDY,1594923.54,155.63266393442623,131179.0
black hawk,2023,COCKTAILS,382353.58999999997,87.49510068649884,131179.0
black hawk,2023,GIN,483513.71,109.2192703862661,131179.0
black hawk,2023,LIQUEUR,1394293.96,130.17402296704321,131179.0
black hawk,2023,RUM,1892040.25,174.34945171396978,131179.0
black hawk,2023,SCHNAPPS,779586.17,116.87948575712144,131179.0
black hawk,2023,SCOTCH,158424.43,161.49279306829766,131179.0
black hawk,2023,TEQUILA,2926435.18,208.1094566917935,131179.0
black hawk,2023,VODKA,4648673.45,132.19603156547703,131179.0
black hawk,2023,WHISKEY,7213278.32,174.46555375498852,131179.0
black hawk,2024,BRANDY,1438380.04,145.5408317312557,132348.0
black hawk,2024,COCKTAILS,369520.38,87.06889255419416,132348.0
black hawk,2024,GIN,471888.79,113.9827995169082,132348.0
black hawk,2024,LIQUEUR,1304486.14,133.53323165114136,132348.0
black hawk,2024,RUM,1886690.81,187.39479638458482,132348.0
black hawk,2024,SCHNAPPS,761799.92,126.06320039715374,132348.0
black hawk,2024,SCOTCH,164316.5,153.71047708138448,132348.0
black hawk,2024,TEQUILA,3159831.6,209.63521528561003,132348.0
black hawk,2024,VODKA,4631444.15,136.94799225287562,132348.0
black hawk,2024,WHISKEY,7223796.63,176.80682942947354,132348.0
boone,2022,BRANDY,40183.39,104.64424479166667,26570.0
boone,2022,COCKTAILS,53818.26,89.6971,26570.0
boone,2022,GIN,37650.67,114.78862804878048,26570.0
boone,2022,LIQUEUR,130082.59,102.507951142632,26570.0
boone,2022,RUM,223531.37,126.93433844406587,26570.0
boone,2022,SCHNAPPS,99161.61,98.08270029673591,26570.0
boone,2022,SCOTCH,20542.32,156.8116030534351,26570.0
boone,2022,TEQUILA,116694.72,162.076,26570.0
boone,2022,VODKA,514673.56,125.80629674896113,26570.0
boone,2022,WHISKEY,1024070.99,162.93890055688146,26570.0
boone,2023,BRANDY,31145.03,84.40387533875338,26567.0
boone,2023,COCKTAILS,50073.659999999996,79.10530805687203,26567.0
boone,2023,GIN,33024.96,99.17405405405405,26567.0
boone,2023,LIQUEUR,132632.88,97.3809691629956,26567.0
boone,2023,RUM,241372.29,127.30606012658228,26567.0
boone,2023,SCHNAPPS,106351.48,95.63982014388489,26567.0
boone,2023,SCOTCH,11648.99,133.8964367816092,26567.0
boone,2023,TEQUILA,136728.88,161.80932544378697,26567.0
boone,2023,VODKA,534490.05,119.89458277254376,26567.0
boone,2023,WHISKEY,1139015.27,154.96806394557822,26567.0
boone,2024,BRANDY,25905.04,89.02075601374571,26729.0
boone,2024,COCKTAILS,48946.87,76.59917057902973,26729.0
boone,2024,GIN,37732.76,105.6940056022409,26729.0
boone,2024,LIQUEUR,135581.88,123.14430517711172,26729.0
boone,2024,RUM,212733.03,131.88656540607565,26729.0
boone,2024,SCHNAPPS,117928.65000000001,109.29439295644116,26729.0
boone,2024,SCOTCH,10662.48,138.47376623376624,26729.0
boone,2024,TEQUILA,134300.14,163.38216545012168,26729.0
boone,2024,VODKA,528686.28,123.6982405240992,26729.0
boone,2024,WHISKEY,1175173.05,164.8671506734007,26729.0
bremer,2022,BRANDY,43993.9,80.87113970588236,25260.0
bremer,2022,COCKTAILS,50036.26,75.69782148260212,25260.0
bremer,2022,GIN,45032.79,78.45433797909408,25260.0
bremer,2022,LIQUEUR,118206.25,78.96209084836339,25260.0
bremer,2022,RUM,293827.61,171.5280852305896,25260.0
bremer,2022,SCHNAPPS,78695.52,72.66437673130194,25260.0
bremer,2022,SCOTCH,17750.7,78.19691629955948,25260.0
bremer,2022,TEQUILA,118539.39,147.6206600249066,25260.0
bremer,2022,VODKA,524422.05,131.93007547169813,25260.0
bremer,2022,WHISKEY,997814.05,148.15353377876764,25260.0
bremer,2023,BRANDY,32176.49,59.918975791433894,25304.0
bremer,2023,COCKTAILS,48970.479999999996,75.22347158218125,25304.0
bremer,2023,GIN,46360.8,80.76794425087108,25304.0
bremer,2023,LIQUEUR,115855.24,86.45913432835822,25304.0
bremer,2023,RUM,285568.38,176.9320817843866,25304.0
bremer,2023,SCHNAPPS,74376.58,74.45103103103104,25304.0
bremer,2023,SCOTCH,19120.1,82.77099567099566,25304.0
bremer,2023,TEQUILA,123872.8,150.1488484848485,25304.0
bremer,2023,VODKA,530866.56,131.76137006701416,25304.0
bremer,2023,WHISKEY,1069816.21,146.38973864258347,25304.0
bremer,2024,BRANDY,32725.03,71.92314285714285,25328.0
bremer,2024,COCKTAILS,48522.46,79.15572593800978,25328.0
bremer,2024,GIN,46954.27,94.47539235412474,25328.0
bremer,2024,LIQUEUR,111013.46,91.59526402640265,25328.0
bremer,2024,RUM,270686.95,179.38167660702453,25328.0
bremer,2024,SCHNAPPS,76314.19,85.17208705357143,25328.0
bremer,2024,SCOTCH,22845.29,106.75369158878505,25328.0
bremer,2024,TEQUILA,120090.98,146.45241463414635,25328.0
bremer,2024,VODKA,508159.53,130.1304814340589,25328.0
bremer,2024,WHISKEY,1097427.21,153.80899929922916,25328.0
buchanan,2022,BRANDY,21043.26,74.88704626334518,20700.0
buchanan,2022,COCKTAILS,30577.98,86.86926136363637,20700.0
buchanan,2022,GIN,17931.41,85.38766666666666,20700.0
buchanan,2022,LIQUEUR,64987.8,75.21736111111112,20700.0
buchanan,2022,RUM,135946.33000000002,110.43568643379368,20700.0
buchanan,2022,SCHNAPPS,46774.07,63.2937347767253,20700.0
buchanan,2022,SCOTCH,1077.92,53.896,20700.0
buchanan,2022,TEQUILA,52125.95,111.8582618025751,20700.0
buchanan,2022,VODKA,301809.48,99.50856577645895,20700.0
buchanan,2022,WHISKEY,655923.51,144.8274475601678,20700.0
buchanan,2023,BRANDY,25510.02,85.0334,20725.0
buchanan,2023,COCKTAILS,29701.559999999998,86.84666666666666,20725.0
buchanan,2023,GIN,19994.32,80.62225806451613,20725.0
buchanan,2023,LIQUEUR,61174.07,67.97118888888889,20725.0
buchanan,2023,RUM,137880.37,120.1048519163763,20725.0
buchanan,2023,SCHNAPPS,55030.450000000004,62.04109357384442,20725.0
buchanan,2023,SCOTCH,3698.84,105.68114285714286,20725.0
buchanan,2023,TEQUILA,48335.79,95.5252766798419,20725.0
buchanan,2023,VODKA,321455.55,98.97030480295567,20725.0
buchanan,2023,WHISKEY,706218.64,142.84357605177993,20725.0
buchanan,2024,BRANDY,23824.78,62.043697916666666,20733.0
buchanan,2024,COCKTAILS,44708.25,78.29816112084063,20733.0
buchanan,2024,GIN,19196.89,52.30760217983651,20733.0
buchanan,2024,LIQUEUR,74052.62,65.01546971027217,20733.0
buchanan,2024,RUM,193024.52,140.68842565597666,20733.0
buchanan,2024,SCHNAPPS,63833.19,60.85146806482364,20733.0
buchanan,2024,SCOTCH,2340.96,66.88457142857143,20733.0
buchanan,2024,TEQUILA,80625.2,87.73144722524482,20733.0
buchanan,2024,VODKA,338225.14,90.12127364774847,20733.0
buchanan,2024,WHISKEY,778225.22,132.26125424881033,20733.0
buena vista,2022,BRANDY,179448.33,181.07803229061554,20651.0
buena vista,2022,COCKTAILS,58759.65,73.91150943396227,20651.0
buena vista,2022,GIN,43401.96,85.26907662082515,20651.0
buena vista,2022,LIQUEUR,117769.85,91.22374128582494,20651.0
buena vista,2022,RUM,259517.4,172.89633577614924,20651.0
buena vista,2022,SCHNAPPS,38898.25,49.48886768447837,20651.0
buena vista,2022,SCOTCH,13603.66,123.66963636363636,20651.0
buena vista,2022,TEQUILA,231712.25,162.71927668539325,20651.0
buena vista,2022,VODKA,375905.65,108.89503186558518,20651.0
buena vista,2022,WHISKEY,885901.93,163.75266728280963,20651.0
buena vista,2023,BRANDY,184958.37,192.86587069864441,20698.0
buena vista,2023,COCKTAILS,66256.89,84.40368152866242,20698.0
buena vista,2023,GIN,44939.81,91.71389795918367,20698.0
buena vista,2023,LIQUEUR,114764.34,92.2542926045016,20698.0
buena vista,2023,RUM,282084.74,192.15581743869208,20698.0
buena vista,2023,SCHNAPPS,48214.21,58.44146666666666,20698.0
buena vista,2023,SCOTCH,14668.86,129.8129203539823,20698.0
buena vista,2023,TEQUILA,271666.36,170.7519547454431,20698.0
buena vista,2023,VODKA,419431.83,122.64088596491229,20698.0
buena vista,2023,WHISKEY,914262.65,161.2171839181802,20698.0
buena vista,2024,BRANDY,202688.97,229.28616515837103,20816.0
buena vista,2024,COCKTAILS,74488.4,103.16952908587257,20816.0
buena vista,2024,GIN,43702.2,104.05285714285714,20816.0
buena vista,2024,LIQUEUR,104466.44,99.39718363463369,20816.0
buena vista,2024,RUM,238476.44,164.3531633356306,20816.0
buena vista,2024,SCHNAPPS,44418.090000000004,67.7105030487805,20816.0
buena vista,2024,SCOTCH,11399.87,107.54594339622642,20816.0
buena vista,2024,TEQUILA,291015.45,186.6680243745991,20816.0
buena vista,2024,VODKA,413259.69,132.53999037844773,20816.0
buena vista,2024,WHISKEY,948668.23,177.7530878770845,20816.0
butler,2022,BRANDY,6845.88,72.0618947368421,14275.0
butler,2022,COCKTAILS,4842.2699999999995,53.21175824175824,14275.0
butler,2022,GIN,5152.3,85.87166666666667,14275.0
butler,2022,LIQUEUR,19058.46,63.317142857142855,14275.0
butler,2022,RUM,65850.6,100.53526717557253,14275.0
butler,2022,SCHNAPPS,17030.43,43.89286082474227,14275.0
butler,2022,SCOTCH,125.91,125.91,14275.0
butler,2022,TEQUILA,15126.74,91.67721212121212,14275.0
butler,2022,VODKA,122894.97,80.00974609375,14275.0
butler,2022,WHISKEY,217569.57,104.90336065573771,14275.0
butler,2023,BRANDY,6803.01,81.96397590361445,14225.0
butler,2023,COCKTAILS,4699.889999999999,57.31573170731706,14225.0
butler,2023,GIN,3712.15,95.18333333333334,14225.0
butler,2023,LIQUEUR,19480.670000000002,67.87689895470383,14225.0
butler,2023,RUM,59546.31,106.33269642857142,14225.0
butler,2023,SCHNAPPS,19986.440000000002,55.828044692737436,14225.0
butler,2023,SCOTCH,125.91,125.91,14225.0
butler,2023,TEQUILA,16024.72,104.73673202614378,14225.0
butler,2023,VODKA,129624.03,85.8437284768212,14225.0
butler,2023,WHISKEY,216725.29,101.46315074906367,14225.0
butler,2024,BRANDY,6270.18,82.50236842105264,14156.0
butler,2024,COCKTAILS,4379.32,59.17999999999999,14156.0
butler,2024,GIN,2875.58,87.13878787878788,14156.0
butler,2024,LIQUEUR,16537.24,68.90516666666667,14156.0
butler,2024,RUM,61517.19,125.80202453987731,14156.0
butler,2024,SCHNAPPS,19206.37,63.17884868421052,14156.0
butler,2024,SCOTCH,63.78,63.78,14156.0
butler,2024,TEQUILA,25093.79,106.78208510638298,14156.0
butler,2024,VODKA,124778.36,82.85415670650731,14156.0
butler,2024,WHISKEY,251813.44,108.12084156290254,14156.0
calhoun,2022,BRANDY,4025.65,44.237912087912086,9725.0
calhoun,2022,COCKTAILS,6657.59,89.96743243243243,9725.0
calhoun,2022,GIN,6375.92,70.06505494505494,9725.0
calhoun,2022,LIQUEUR,23087.52,85.50933333333333,9725.0
calhoun,2022,RUM,57020.37,130.48139588100688,9725.0
calhoun,2022,SCHNAPPS,10830.3,49.45342465753424,9725.0
calhoun,2022,SCOTCH,1390.98,126.45272727272727,9725.0
calhoun,2022,TEQUILA,19303.78,128.69186666666667,9725.0
calhoun,2022,VODKA,118911.29,108.00298819255222,9725.0
calhoun,2022,WHISKEY,245605.6,144.81462264150943,9725.0
calhoun,2023,BRANDY,4163.72,68.25770491803279,9790.0
calhoun,2023,COCKTAILS,6871.09,82.78421686746988,9790.0
calhoun,2023,GIN,5150.62,105.11469387755102,9790.0
calhoun,2023,LIQUEUR,24231.06,95.77494071146245,9790.0
calhoun,2023,RUM,69649.0,164.65484633569739,9790.0
calhoun,2023,SCHNAPPS,12456.710000000001,60.46946601941748,9790.0
calhoun,2023,SCOTCH,1243.05,138.11666666666667,9790.0
calhoun,2023,TEQUILA,20938.62,175.9547899159664,9790.0
calhoun,2023,VODKA,118344.06,112.4943536121673,9790.0
calhoun,2023,WHISKEY,260634.84,155.32469606674613,9790.0
calhoun,2024,BRANDY,4265.14,77.548,9711.0
calhoun,2024,COCKTAILS,5205.14,74.35914285714286,9711.0
calhoun,2024,GIN,6037.28,137.2109090909091,9711.0
calhoun,2024,LIQUEUR,20498.64,104.05401015228426,9711.0
calhoun,2024,RUM,47835.86,152.8302236421725,9711.0
calhoun,2024,SCHNAPPS,9025.95,71.07047244094488,9711.0
calhoun,2024,SCOTCH,775.17,129.195,9711.0
calhoun,2024,TEQUILA,10417.44,165.35619047619048,9711.0
calhoun,2024,VODKA,104019.08,109.49376842105264,9711.0
calhoun,2024,WHISKEY,279449.82,170.1886845310597,9711.0
carroll,2022,BRANDY,48613.82,108.03071111111112,20565.0
carroll,2022,COCKTAILS,66076.56999999999,82.90661229611041,20565.0
carroll,2022,GIN,39405.78,91.64134883720929,20565.0
carroll,2022,LIQUEUR,145372.63,100.81319694868239,20565.0
carroll,2022,RUM,530838.72,233.4383113456464,20565.0
carroll,2022,SCHNAPPS,80061.68000000001,69.01868965517242,20565.0
carroll,2022,SCOTCH,17738.03,179.17202020202018,20565.0
carroll,2022,TEQUILA,121734.84,136.16872483221476,20565.0
carroll,2022,VODKA,567247.63,130.07283421233663,20565.0
carroll,2022,WHISKEY,1492472.22,212.81508912020533,20565.0
carroll,2023,BRANDY,45288.07,94.74491631799164,20512.0
carroll,2023,COCKTAILS,63827.57,76.44020359281437,20512.0
carroll,2023,GIN,37278.01,78.64559071729958,20512.0
carroll,2023,LIQUEUR,164824.76,102.31207945375543,20512.0
carroll,2023,RUM,482020.96,216.8335402609087,20512.0
carroll,2023,SCHNAPPS,81351.02,78.75219748305905,20512.0
carroll,2023,SCOTCH,14095.55,130.51435185185184,20512.0
carroll,2023,TEQUILA,126945.67,116.67800551470589,20512.0
carroll,2023,VODKA,536252.21,114.33949040511726,20512.0
carroll,2023,WHISKEY,1450297.74,192.09241589403973,20512.0
carroll,2024,BRANDY,35892.72,77.52207343412528,20407.0
carroll,2024,COCKTAILS,53836.32,63.18816901408451,20407.0
carroll,2024,GIN,39231.14,76.92380392156862,20407.0
carroll,2024,LIQUEUR,164446.74,96.11147866744594,20407.0
carroll,2024,RUM,483996.65,219.99847727272729,20407.0
carroll,2024,SCHNAPPS,88056.87,76.30577989601386,20407.0
carroll,2024,SCOTCH,21616.23,168.876796875,20407.0
carroll,2024,TEQUILA,142775.09,132.93770018621973,20407.0
carroll,2024,VODKA,612588.54,128.39835254663592,20407.0
carroll,2024,WHISKEY,1575310.26,189.4996102490076,20407.0
cass,2022,BRANDY,25677.8,101.09370078740157,13125.0
cass,2022,COCKTAILS,29905.079999999998,87.44175438596491,13125.0
cass,2022,GIN,22624.9,95.46371308016879,13125.0
cass,2022,LIQUEUR,110180.23,119.37186348862404,13125.0
cass,2022,RUM,173994.33000000002,137.11137115839244,13125.0
cass,2022,SCHNAPPS,40335.07,70.14794782608696,13125.0
cass,2022,SCOTCH,10137.18,241.36142857142858,13125.0
cass,2022,TEQUILA,92791.16,177.42095602294455,13125.0
cass,2022,VODKA,290618.56,113.56723720203205,13125.0
cass,2022,WHISKEY,697261.81,157.75154072398192,13125.0
cass,2023,BRANDY,29191.71,125.28630901287553,13131.0
cass,2023,COCKTAILS,30533.89,85.76935393258427,13131.0
cass,2023,GIN,22626.23,117.84494791666667,13131.0
cass,2023,LIQUEUR,112583.44,129.25768082663606,13131.0
cass,2023,RUM,174058.64,154.17062887511074,13131.0
cass,2023,SCHNAPPS,46420.76,89.78870406189556,13131.0
cass,2023,SCOTCH,5417.43,146.41702702702705,13131.0
cass,2023,TEQUILA,95060.29,179.69809073724005,13131.0
cass,2023,VODKA,398216.95,152.69054831288344,13131.0
cass,2023,WHISKEY,762507.83,181.2043322243346,13131.0
