FIPS,County,City,Year,Estimate,Primary Point
1968340,Palo Alto,Rodman,July 01 2019,41,POINT (-94.5271834 43.0265898)
1975675,Story,Story City,July 01 2019,3320,POINT (-93.5865496 42.186602)
1950935,Marion,Melcher-Dallas,July 01 2012,1279,POINT (-93.2411492 41.2274271)
1981570,Fayette,Wadena,July 01 2014,251,POINT (-91.6594004 42.8397808)
1979995,Monona,Ute,April 01 2020,338,POINT (-95.7058299 42.0499538)
1979995,Monona,Ute,July 01 2016,349,POINT (-95.7058299 42.0499538)
1926265,Audubon,Exira,April 01 2020,787,POINT (-94.8810861 41.5919759)
1918345,Greene,Dana,April 01 2010,71,POINT (-94.238368 42.1070968)
1950160,Cerro Gordo,Mason City,July 01 2017,27344,POINT (-93.1998074 43.1487201)
1987690,Dubuque,Zwingle (pt.),July 01 2014,65,POINT (-90.6874539 42.2971718)
1955065,Clarke,Murray,July 01 2011,746,POINT (-93.9488848 41.0413552)
1964875,Wayne,Promise City,July 01 2015,108,POINT (-93.1497895 40.7473394)
1947055,Clayton,Luana,July 01 2016,277,POINT (-91.4557178 43.0594516)
1945480,Buena Vista,Linn Grove,July 01 2022,155,POINT (-95.242346 42.8928146)
1929055,Louisa,Fredonia,July 01 2016,237,POINT (-91.3393851 41.284514)
1987285,Guthrie,Yale,July 01 2023,265,POINT (-94.3572116 41.7753718)
1924375,Tama,Elberon,April 01 2020,184,POINT (-92.3161149 42.0054947)
1916815,Franklin,Coulter,July 01 2017,265,POINT (-93.3700471 42.73312)
1981840,Linn,Walford (pt.),July 01 2024,400,POINT (-91.8305169 41.8796623)
1999990,Ida,Balance of Ida County,July 01 2017,2130,
1983325,Grundy,Wellsburg,July 01 2011,708,POINT (-92.9265689 42.4338465)
1981840,Benton,Walford (pt.),July 01 2015,1059,POINT (-91.8305169 41.8796623)
1916140,Henry,Coppock (pt.),July 01 2018,32,POINT (-91.7150539 41.163535)
1968070,Floyd,Rockford,July 01 2014,845,POINT (-92.9477776 43.0524158)
1900505,Dallas,Adel,July 01 2022,6477,POINT (-94.0135968 41.6121709)
1949575,Cass,Marne,July 01 2017,115,POINT (-95.1107615 41.4489055)
1901675,Lyon,Alvord,July 01 2018,202,POINT (-96.3025937 43.3417889)
1907075,Scott,Blue Grass (pt.),July 01 2024,1609,POINT (-90.7648763 41.5095767)
1955965,Buena Vista,Newell,July 01 2019,852,POINT (-95.0039777 42.609682)
1969015,Wright,Rowan,July 01 2023,120,POINT (-93.5504173 42.7391166)
1926940,Webster,Farnhamville (pt.),July 01 2015,0,POINT (-94.407793 42.2767837)
1906985,Taylor,Blockton,July 01 2024,123,POINT (-94.4779281 40.6168175)
1956595,Warren,New Virginia,July 01 2018,495,POINT (-93.7310405 41.1816162)
1919135,Dallas,Dawson,July 01 2021,112,POINT (-94.2203279 41.8430917)
1937155,Delaware,Hopkinton,July 01 2022,623,POINT (-91.248661 42.3431218)
1944805,Cass,Lewis,July 01 2024,358,POINT (-95.0842834 41.3064931)
1950520,Story,Maxwell,July 01 2023,855,POINT (-93.3959877 41.8913844)
1941295,Audubon,Kimballton,July 01 2012,303,POINT (-95.0748694 41.6271029)
1999990,Fayette,Balance of Fayette County,July 01 2015,6390,
1953175,Harrison,Mondamin,July 01 2012,391,POINT (-96.0214962 41.7100398)
1933780,Fremont,Hamburg,July 01 2016,1091,POINT (-95.6545764 40.606121)
1949755,Marshall,Marshalltown,July 01 2022,27491,POINT (-92.9066945 42.0341021)
1955695,Story,Nevada,July 01 2011,6832,POINT (-93.463738 42.0185408)
1961365,Scott,Panorama Park,July 01 2017,150,POINT (-90.4536976 41.5556125)
1983775,Washington,West Chester,July 01 2019,147,POINT (-91.8169476 41.3400387)
1903835,Buchanan,Aurora,July 01 2023,166,POINT (-91.7294524 42.6201079)
1914475,Wayne,Clio,April 01 2020,67,POINT (-93.4513925 40.6359742)
1925860,Emmet,Estherville,April 01 2020,5904,POINT (-94.8343632 43.3998352)
1902530,O'Brien,Archer,April 01 2020,117,POINT (-95.7440995 43.1151043)
1964020,Polk,Polk City,July 01 2024,6430,POINT (-93.7130589 41.7769994)
1914025,Cerro Gordo,Clear Lake,July 01 2014,7676,POINT (-93.3739922 43.1346536)
1986070,Muscatine,Wilton (pt.),July 01 2023,2929,POINT (-91.0269994 41.5898612)
1966405,Plymouth,Remsen,July 01 2023,1684,POINT (-95.9724007 42.8148253)
1904240,Guthrie,Bagley,July 01 2023,231,POINT (-94.4303047 41.8463643)
1983055,Keokuk,Webster,July 01 2013,73,POINT (-92.1715154 41.4378773)
1924420,Wapello,Eldon,July 01 2024,788,POINT (-92.2176726 40.9176345)
1965550,Fayette,Randalia,April 01 2020,50,POINT (-91.8864465 42.8635957)
1921900,Lyon,Doon,July 01 2011,594,POINT (-96.2317488 43.2787854)
1976935,Fremont,Tabor (pt.),July 01 2023,896,POINT (-95.6737118 40.8949387)
1975810,Webster,Stratford (pt.),July 01 2011,30,POINT (-93.9272412 42.2691235)
1931845,Dubuque,Graf,July 01 2016,83,POINT (-90.8732325 42.4938574)
1917130,Washington,Crawfordsville,July 01 2021,278,POINT (-91.5366275 41.2139194)
1983685,Des Moines,West Burlington,July 01 2017,2913,POINT (-91.1763695 40.8218381)
1925815,Page,Essex,July 01 2013,777,POINT (-95.3038067 40.832679)
1931980,Greene,Grand Junction,July 01 2021,720,POINT (-94.2370224 42.032965)
1942285,Warren,Lacona,July 01 2015,350,POINT (-93.3849697 41.1899087)
1999990,Plymouth,Balance of Plymouth County,July 01 2011,8258,
1969240,Polk,Runnells,July 01 2018,513,POINT (-93.3603967 41.5140555)
1931035,Tama,Gladbrook,July 01 2017,869,POINT (-92.7150959 42.1860667)
1909820,Clinton,Calamus,July 01 2015,418,POINT (-90.7600146 41.8264945)
1958575,Sac,Odebolt,July 01 2013,976,POINT (-95.2542336 42.3117964)
1907030,Davis,Bloomfield,July 01 2019,2679,POINT (-92.4173637 40.7487671)
1962760,Woodbury,Pierson,July 01 2021,336,POINT (-95.8652766 42.5428025)
1942465,Calhoun,Lake City,July 01 2011,1711,POINT (-94.7310464 42.2676372)
1915645,Muscatine,Conesville,July 01 2015,428,POINT (-91.3485847 41.3796772)
1902800,Union,Arispe,July 01 2023,94,POINT (-94.2191509 40.9480308)
1929010,Bremer,Frederika,July 01 2016,200,POINT (-92.3061682 42.883407)
1976260,Bremer,Sumner (pt.),April 01 2020,2021,POINT (-92.0974233 42.8494642)
1973515,Story,Slater (pt.),April 01 2020,1543,POINT (-93.686299 41.8792234)
1956370,Taylor,New Market,July 01 2014,406,POINT (-94.9004948 40.7323633)
