"","County","Year","Population"
"413","Shelby",2022,11745
"414","Shelby",2023,11823
"415","Shelby",2024,11821
"416","Sioux",2020,35872
"417","Sioux",2021,35979
"418","Sioux",2022,36231
"419","Sioux",2023,36399
"420","Sioux",2024,36554
"421","Story",2020,98537
"422","Story",2021,99683
"423","Story",2022,99995
"424","Story",2023,101501
"425","Story",2024,102498
"426","Tama",2020,17135
"427","Tama",2021,16862
"428","Tama",2022,16910
"429","Tama",2023,16787
"430","Tama",2024,16738
"431","Taylor",2020,5896
"432","Taylor",2021,5868
"433","Taylor",2022,5870
"434","Taylor",2023,5917
"435","Taylor",2024,5825
"436","Union",2020,12138
"437","Union",2021,12048
"438","Union",2022,11922
"439","Union",2023,11913
"440","Union",2024,11955
"441","Van Buren",2020,7203
"442","Van Buren",2021,7256
"443","Van Buren",2022,7250
"444","Van Buren",2023,7266
"445","Van Buren",2024,7217
"446","Wapello",2020,35437
"447","Wapello",2021,35304
"448","Wapello",2022,35080
"449","Wapello",2023,35417
"450","Wapello",2024,35681
"451","Warren",2020,52403
"452","Warren",2021,53487
"453","Warren",2022,54325
"454","Warren",2023,55298
"455","Warren",2024,56343
"456","Washington",2020,22565
"457","Washington",2021,22526
"458","Washington",2022,22541
"459","Washington",2023,22554
"460","Washington",2024,22631
"461","Wayne",2020,6497
"462","Wayne",2021,6522
"463","Wayne",2022,6472
"464","Wayne",2023,6542
"465","Wayne",2024,6622
"466","Webster",2020,36999
"467","Webster",2021,37172
"468","Webster",2022,36703
"469","Webster",2023,36653
"470","Webster",2024,36909
"471","Winnebago",2020,10679
"472","Winnebago",2021,10657
"473","Winnebago",2022,10651
"474","Winnebago",2023,10563
"475","Winnebago",2024,10383
"476","Winneshiek",2020,20070
"477","Winneshiek",2021,19944
"478","Winneshiek",2022,19915
"479","Winneshiek",2023,19728
"480","Winneshiek",2024,19723
"481","Woodbury",2020,105941
"482","Woodbury",2021,105801
"483","Woodbury",2022,105674
"484","Woodbury",2023,106544
"485","Woodbury",2024,107257
"486","Worth",2020,7443
"487","Worth",2021,7374
"488","Worth",2022,7316
"489","Worth",2023,7322
"490","Worth",2024,7307
"491","Wright",2020,12943
"492","Wright",2021,12821
"493","Wright",2022,12740
"494","Wright",2023,12744
"495","Wright",2024,12729
